case_id,artifact_type,value,note,severity,status
compute-10,container,compute-10,"Windows, staging, HR",MEDIUM,NEW
compute-12,server,compute-12,"Windows, staging, Executive Administration",HIGH,NEW
compute-13,laptop,compute-13,"macOS, prod, IT",HIGH,NEW
compute-14,container,compute-14,"Linux, dev, HR",HIGH,NEW
compute-14,firewall,compute-14,"Windows, prod, Engineering",HIGH,NEW
compute-15,firewall,compute-15,"Linux, staging, IT",MEDIUM,NEW
compute-15,firewall,compute-15,"Linux, dev, Executive Administration",MEDIUM,NEW
compute-15,firewall,compute-15,"Linux, prod, Security",MEDIUM,NEW
compute-16,server,compute-16,"Linux, dev, IT",LOW,NEW
compute-18,firewall,compute-18,"macOS, prod, Engineering",LOW,NEW
compute-2,laptop,compute-2,"Linux, staging, Executive Administration",HIGH,NEW
compute-2,laptop,compute-2,"macOS, staging, IT",HIGH,NEW
compute-21,server,compute-21,"Linux, prod, HR",MEDIUM,NEW
compute-22,container,compute-22,"Windows, dev, Engineering",HIGH,NEW
compute-24,container,compute-24,"macOS, staging, Security",MEDIUM,NEW
compute-24,laptop,compute-24,"Linux, staging, Executive Administration",MEDIUM,NEW
compute-24,firewall,compute-24,"Linux, dev, IT",MEDIUM,NEW
compute-26,server,compute-26,"Windows, dev, Security",HIGH,NEW
compute-28,server,compute-28,"Linux, staging, IT",MEDIUM,NEW
compute-28,firewall,compute-28,"Windows, staging, Finance",MEDIUM,NEW
compute-29,firewall,compute-29,"macOS, dev, IT",LOW,NEW
compute-3,laptop,compute-3,"Linux, prod, Executive Administration",HIGH,NEW
compute-3,container,compute-3,"Linux, prod, Finance",HIGH,NEW
compute-30,container,compute-30,"Linux, prod, HR",LOW,NEW
compute-31,firewall,compute-31,"macOS, dev, HR",LOW,NEW
compute-31,laptop,compute-31,"Linux, dev, Executive Administration",LOW,NEW
compute-32,firewall,compute-32,"Windows, prod, Engineering",HIGH,NEW
compute-33,container,compute-33,"Linux, dev, Engineering",HIGH,NEW
compute-34,firewall,compute-34,"macOS, prod, Engineering",HIGH,NEW
compute-36,laptop,compute-36,"macOS, staging, Executive Administration",MEDIUM,NEW
compute-36,laptop,compute-36,"Windows, staging, Engineering",MEDIUM,NEW
compute-4,firewall,compute-4,"macOS, staging, Executive Administration",HIGH,NEW
compute-4,firewall,compute-4,"macOS, prod, Finance",HIGH,NEW
compute-43,server,compute-43,"Windows, staging, Security",MEDIUM,NEW
compute-43,container,compute-43,"Windows, staging, Finance",MEDIUM,NEW
compute-44,firewall,compute-44,"Linux, dev, Finance",HIGH,NEW
compute-45,firewall,compute-45,"macOS, staging, Finance",MEDIUM,NEW
compute-46,server,compute-46,"macOS, staging, IT",HIGH,NEW
compute-47,container,compute-47,"Windows, dev, Executive Administration",LOW,NEW
compute-47,server,compute-47,"macOS, prod, IT",LOW,NEW
compute-48,firewall,compute-48,"macOS, staging, HR",LOW,NEW
compute-49,firewall,compute-49,"Linux, staging, Executive Administration",MEDIUM,NEW
compute-5,firewall,compute-5,"Windows, prod, Finance",MEDIUM,NEW
compute-50,server,compute-50,"Linux, staging, Finance",MEDIUM,NEW
compute-50,server,compute-50,"macOS, dev, Security",MEDIUM,NEW
compute-7,server,compute-7,"Linux, dev, Engineering",HIGH,NEW
compute-9,laptop,compute-9,"Linux, staging, Engineering",MEDIUM,NEW
db-10,server,db-10,"Windows, staging, Executive Administration",HIGH,NEW
db-10,container,db-10,"Linux, prod, HR",HIGH,NEW
db-11,firewall,db-11,"macOS, dev, Executive Administration",MEDIUM,NEW
db-12,firewall,db-12,"macOS, staging, Security",HIGH,NEW
db-12,laptop,db-12,"Windows, staging, IT",HIGH,NEW
db-13,firewall,db-13,"macOS, prod, Engineering",HIGH,NEW
db-13,laptop,db-13,"Linux, staging, Security",HIGH,NEW
db-15,laptop,db-15,"Linux, staging, Finance",HIGH,NEW
db-16,firewall,db-16,"macOS, dev, Finance",LOW,NEW
db-16,container,db-16,"Linux, prod, Engineering",LOW,NEW
db-17,container,db-17,"Linux, staging, Engineering",MEDIUM,NEW
db-19,laptop,db-19,"Windows, prod, Engineering",LOW,NEW
db-2,firewall,db-2,"Windows, staging, IT",MEDIUM,NEW
db-23,container,db-23,"Linux, dev, Executive Administration",HIGH,NEW
db-23,container,db-23,"Linux, dev, Executive Administration",HIGH,NEW
db-23,container,db-23,"macOS, staging, IT",HIGH,NEW
db-24,container,db-24,"Linux, prod, Engineering",LOW,NEW
db-29,container,db-29,"Linux, staging, Security",HIGH,NEW
db-29,container,db-29,"Linux, dev, HR",HIGH,NEW
db-3,server,db-3,"Windows, staging, HR",MEDIUM,NEW
db-30,laptop,db-30,"macOS, prod, Finance",MEDIUM,NEW
db-30,laptop,db-30,"Linux, staging, Security",MEDIUM,NEW
db-31,firewall,db-31,"Linux, staging, Engineering",HIGH,NEW
db-34,server,db-34,"Linux, prod, IT",LOW,NEW
db-34,container,db-34,"macOS, staging, Executive Administration",LOW,NEW
db-35,container,db-35,"Windows, dev, HR",HIGH,NEW
db-37,firewall,db-37,"Linux, dev, Security",MEDIUM,NEW
db-38,server,db-38,"Windows, prod, Security",HIGH,NEW
db-39,firewall,db-39,"macOS, staging, IT",LOW,NEW
db-4,container,db-4,"Windows, dev, Engineering",HIGH,NEW
db-4,server,db-4,"macOS, prod, Finance",HIGH,NEW
db-4,container,db-4,"Linux, dev, Security",HIGH,NEW
db-41,container,db-41,"Linux, staging, Finance",HIGH,NEW
db-41,server,db-41,"Windows, staging, Finance",HIGH,NEW
db-41,container,db-41,"macOS, prod, Executive Administration",HIGH,NEW
db-42,server,db-42,"macOS, dev, Executive Administration",LOW,NEW
db-43,server,db-43,"Linux, dev, HR",HIGH,NEW
db-46,server,db-46,"Windows, prod, Security",MEDIUM,NEW
db-46,firewall,db-46,"Windows, dev, Executive Administration",MEDIUM,NEW
db-47,server,db-47,"macOS, prod, Security",MEDIUM,NEW
db-50,container,db-50,"macOS, prod, Finance",MEDIUM,NEW
db-6,server,db-6,"macOS, prod, HR",MEDIUM,NEW
db-6,server,db-6,"macOS, staging, Executive Administration",MEDIUM,NEW
db-7,firewall,db-7,"Linux, dev, Executive Administration",HIGH,NEW
eng-1,laptop,eng-1,"Windows, dev, Executive Administration",LOW,NEW
eng-10,laptop,eng-10,"macOS, staging, HR",LOW,NEW
eng-11,firewall,eng-11,"macOS, prod, IT",HIGH,NEW
eng-13,laptop,eng-13,"Linux, dev, Engineering",MEDIUM,NEW
eng-14,firewall,eng-14,"macOS, prod, Executive Administration",MEDIUM,NEW
eng-15,container,eng-15,"macOS, staging, Engineering",MEDIUM,NEW
eng-15,firewall,eng-15,"Linux, staging, IT",MEDIUM,NEW
eng-16,firewall,eng-16,"macOS, dev, Executive Administration",MEDIUM,NEW
eng-17,laptop,eng-17,"macOS, staging, Finance",MEDIUM,NEW
eng-19,server,eng-19,"Linux, dev, Executive Administration",HIGH,NEW
eng-21,container,eng-21,"Windows, dev, Executive Administration",HIGH,NEW
eng-21,laptop,eng-21,"macOS, dev, Security",HIGH,NEW
eng-22,server,eng-22,"Windows, prod, HR",HIGH,NEW
eng-22,firewall,eng-22,"Linux, dev, Engineering",HIGH,NEW
eng-24,firewall,eng-24,"Windows, prod, Executive Administration",MEDIUM,NEW
eng-24,firewall,eng-24,"Windows, prod, HR",MEDIUM,NEW
eng-25,server,eng-25,"macOS, prod, Engineering",LOW,NEW
eng-28,server,eng-28,"Windows, staging, Security",MEDIUM,NEW
eng-28,server,eng-28,"Linux, prod, IT",MEDIUM,NEW
eng-28,container,eng-28,"Linux, dev, IT",MEDIUM,NEW
eng-29,server,eng-29,"Linux, prod, Executive Administration",MEDIUM,NEW
eng-29,laptop,eng-29,"Windows, prod, Finance",MEDIUM,NEW
eng-30,container,eng-30,"macOS, prod, Finance",HIGH,NEW
eng-30,server,eng-30,"macOS, staging, HR",HIGH,NEW
eng-30,server,eng-30,"macOS, dev, Security",HIGH,NEW
eng-31,laptop,eng-31,"macOS, staging, Engineering",HIGH,NEW
eng-31,container,eng-31,"Windows, prod, Finance",HIGH,NEW
eng-32,container,eng-32,"Windows, staging, Security",HIGH,NEW
eng-33,server,eng-33,"macOS, dev, Executive Administration",HIGH,NEW
eng-34,laptop,eng-34,"macOS, staging, HR",HIGH,NEW
eng-34,container,eng-34,"Windows, dev, IT",HIGH,NEW
eng-35,container,eng-35,"Windows, prod, IT",MEDIUM,NEW
eng-36,firewall,eng-36,"Linux, staging, IT",MEDIUM,NEW
eng-42,container,eng-42,"macOS, staging, Security",HIGH,NEW
eng-46,laptop,eng-46,"macOS, dev, Finance",LOW,NEW
eng-48,server,eng-48,"macOS, prod, Executive Administration",HIGH,NEW
eng-48,server,eng-48,"macOS, prod, Security",HIGH,NEW
eng-49,laptop,eng-49,"macOS, dev, Finance",HIGH,NEW
eng-5,container,eng-5,"Linux, prod, Finance",LOW,NEW
eng-50,laptop,eng-50,"Linux, dev, Executive Administration",MEDIUM,NEW
eng-50,container,eng-50,"Windows, staging, Executive Administration",MEDIUM,NEW
eng-6,firewall,eng-6,"Windows, prod, Engineering",MEDIUM,NEW
eng-6,firewall,eng-6,"Windows, dev, Engineering",MEDIUM,NEW
eng-6,container,eng-6,"macOS, dev, Finance",MEDIUM,NEW
eng-7,server,eng-7,"macOS, staging, Engineering",LOW,NEW
eng-7,server,eng-7,"macOS, dev, Finance",LOW,NEW
eng-8,server,eng-8,"macOS, dev, Finance",HIGH,NEW
eng-8,laptop,eng-8,"Linux, staging, Engineering",HIGH,NEW
eng-8,server,eng-8,"Linux, dev, Security",HIGH,NEW
finance-1,container,finance-1,"Windows, dev, Engineering",HIGH,NEW
finance-1,firewall,finance-1,"Windows, staging, Engineering",HIGH,NEW
finance-10,container,finance-10,"macOS, staging, HR",MEDIUM,NEW
finance-13,container,finance-13,"Windows, prod, Finance",HIGH,NEW
finance-14,container,finance-14,"macOS, dev, Executive Administration",HIGH,NEW
finance-14,server,finance-14,"Windows, dev, IT",HIGH,NEW
finance-14,server,finance-14,"macOS, staging, IT",HIGH,NEW
finance-14,firewall,finance-14,"macOS, staging, HR",HIGH,NEW
finance-15,laptop,finance-15,"macOS, staging, Security",HIGH,NEW
finance-15,server,finance-15,"macOS, dev, Executive Administration",HIGH,NEW
finance-16,container,finance-16,"Linux, prod, Finance",MEDIUM,NEW
finance-18,server,finance-18,"Linux, staging, Executive Administration",HIGH,NEW
finance-18,laptop,finance-18,"macOS, staging, Security",HIGH,NEW
finance-20,firewall,finance-20,"Windows, dev, Engineering",HIGH,NEW
finance-20,server,finance-20,"Linux, dev, Finance",HIGH,NEW
finance-20,container,finance-20,"macOS, prod, Engineering",HIGH,NEW
finance-21,server,finance-21,"Linux, prod, HR",LOW,NEW
